Dates,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic EPS,EPS - Earnings Per Share,Sales percentage,Brand loyalty score
31-12-2020,"$9,453","$6,286","$2,561",$971,"$1,536","$20,807","$2,037","$1,117","$8,027","$6,352","$20,534","$41,341","$13,435","$5,729","$1,487","$13,576","$27,011",$281,"$-4,732.55",$0,"$18,586","$14,330","$41,341","$7,746","$4,869","$2,877","$1,467",$968,$55.59,"$2,379",$498,$-11.79,$488,"$3,578","$-3,090.01",$0,"$-3,091.18",$4.72,"$-3,082.07",$794,$498,$-0.55,$-0.55,1.94,0.18
31-03-2021,"$10,887","$5,459","$2,732","$1,030","$1,753","$21,860","$2,163","$1,283","$8,595","$7,460","$22,571","$44,430","$13,655","$6,075","$1,571","$14,174","$27,829",$297,"$-4,682.55",$0,"$20,840","$16,602","$44,430","$6,120","$3,799","$2,321","$1,201",$782,$182,"$1,801",$520,$-72.34,$448,$119,$329,$0,$328,$-10.85,$315,$846,$520,$0.06,$0.06,1.81,0.18
30-06-2021,"$10,765","$5,286","$2,882","$1,062","$1,934","$21,927","$2,171","$1,187","$8,480","$7,514","$22,251","$44,178","$13,890","$5,427","$1,433","$13,014","$26,904",$296,"$-4,266.55",$0,"$21,066","$17,275","$44,178","$6,402","$3,775","$2,627","$1,281",$858,$96.39,"$2,042",$584,$-81.93,$501,$79.52,$422,$0,$422,$1.20,$414,$913,$584,$0.07,$0.07,1.83,0.18
30-09-2021,"$11,389","$5,374","$2,927","$1,028","$1,808","$22,525","$2,131","$1,097","$8,320","$9,656","$23,478","$46,001","$14,048","$5,335","$1,279","$12,623","$26,671",$290,"$-3,773.44",$0,"$22,608","$19,329","$46,001","$6,367","$3,777","$2,590","$1,222",$795,$18.87,"$1,998",$592,$-67.21,$526,$112,$414,$0,$413,$1.18,$403,$901,$592,$0.07,$0.07,1.73,0.18
31-12-2021,"$11,362","$7,384","$2,830",$0,"$1,609","$23,185","$2,276","$1,184","$8,342","$9,542","$24,197","$47,382","$14,317","$5,368","$1,182","$12,406","$26,723",$291,"$-3,001.53",$0,"$23,128","$20,659","$47,382","$7,379","$4,465","$2,915","$1,282",$868,$93.12,"$2,057",$857,$-53.00,$803,$10.90,$792,$0,$794,$-2.18,$788,"$1,188",$857,$0.14,$0.14,1.55,0.18
31-03-2022,"$7,653","$6,656","$2,958",$0,"$1,567","$21,849","$2,146","$1,200","$7,903","$9,108","$23,629","$45,477","$13,867","$5,038","$1,031","$11,315","$25,184",$276,"$-2,611.36",$0,"$22,479","$20,293","$45,477","$6,002","$3,567","$2,434","$1,203",$757,$-76.31,"$2,037",$397,$-109.98,$287,$88.65,$199,$0,$199,$47.13,$238,$705,$397,$0.04,$0.04,1.52,0.18
30-06-2022,"$10,104","$6,149","$3,097",$0,"$1,520","$20,868","$2,040","$1,181","$7,731","$8,621","$22,645","$43,512","$13,076","$4,708",$892,"$10,190","$23,264",$262,"$-2,109.24",$0,"$22,021","$20,247","$43,512","$6,250","$3,737","$2,513","$1,161",$775,$23.41,"$1,912",$600,$-25.54,$576,$78.75,$497,$0,$497,$-7.45,$486,$884,$600,$0.09,$0.09,1.49,0.18
30-09-2022,"$9,612","$6,533","$3,459",$0,"$1,564","$21,166","$1,972","$1,845","$7,536","$8,136","$22,004","$43,173","$13,803","$4,395",$856,"$9,431","$23,233",$248,"$-1,681.02",$0,"$21,383","$19,940","$43,173","$6,286","$3,763","$2,523","$1,173",$777,$-52.37,"$2,002",$521,$-8.06,$513,$93.67,$419,$0,$420,$11.08,$430,$779,$521,$0.08,$0.08,1.41,0.18
31-12-2022,"$9,653","$6,830","$3,440",$0,"$1,429","$21,352","$2,123","$1,816","$7,301","$7,382","$23,892","$45,245","$13,459","$4,477",$782,"$9,212","$22,670",$259,"$1,449",$0,"$20,609","$22,574","$45,245","$7,709","$4,408","$3,300","$1,256",$866,$-254.01,"$2,376",$924,$2.39,$925,"$-2,395.67","$3,321",$0,"$3,320",$0.86,"$3,323","$1,275",$924,$0.59,$0.58,1.28,0.18
31-03-2023,"$8,896","$6,696","$3,541",$0,"$1,535","$20,668","$2,138","$1,165","$7,324","$8,169","$24,386","$45,054","$13,343","$3,976",$761,"$8,765","$22,110",$264,"$1,651",$0,"$20,802","$22,944","$45,054","$6,289","$3,933","$2,356","$1,189",$783,$72.99,"$1,899",$457,$-26.84,$430,$119,$311,$0,$311,$-1.07,$299,$743,$457,$0.05,$0.05,1.33,0.18
30-06-2023,"$8,155","$6,770","$3,617",$0,"$1,585","$20,128","$2,139","$2,003","$7,335","$7,435","$24,300","$44,431","$12,547","$3,908",$772,"$8,683","$21,231",$268,"$1,822",$0,"$20,923","$23,199","$44,431","$6,226","$3,849","$2,377","$1,139",$767,$46.89,"$1,859",$518,$-73.06,$444,$126,$317,$0,$316,$-2.18,$316,$819,$518,$0.05,$0.05,1.27,0.18
30-09-2023,"$7,426","$7,186","$3,582",$0,"$1,728","$19,922","$2,146","$1,924","$7,361","$7,271","$24,207","$44,128","$12,131","$3,877",$948,"$8,758","$20,890",$268,"$1,789",$0,"$21,070","$23,238","$44,128","$5,422","$3,326","$2,096","$1,177",$773,$116,"$1,833",$263,$-67.48,$195,$50.07,$145,$0,$145,$0,$151,$553,$263,$0.03,$0.03,1.13,0.18
31-12-2023,"$8,918","$6,153","$2,943",$0,"$1,647","$19,661","$2,112",$869,"$7,132","$1,191","$23,479","$43,140","$11,833","$3,936",$908,"$8,982","$20,815",$266,"$1,520",$0,"$20,143","$22,326","$43,140","$6,152","$3,580","$2,572","$1,178",$848,$41.81,"$1,984",$588,$-37.18,$553,$597,$-43.88,$0,$-42.79,$8.67,$-47.25,$889,$588,$-0.01,$-0.01,1.11,0.18
31-03-2024,"$9,582","$5,529","$2,916",$0,"$1,367","$19,395","$2,074",$654,"$7,205","$1,186","$23,680","$43,075","$11,804","$3,392",$795,"$8,219","$20,022",$267,"$1,819",$0,"$20,518","$23,054","$43,075","$5,067","$2,640","$2,427","$1,232",$769,$7.60,"$1,993",$433,$56.46,$490,$13.03,$477,$0,$477,$0,$471,$717,$433,$0.09,$0.09,1.05,0.18
30-06-2024,"$9,776","$4,851","$2,670",$0,"$2,104","$19,399","$1,466","$1,756","$7,067",$0,"$22,449","$41,847","$10,671","$2,958","$1,804","$8,542","$19,213",$265,"$1,405",$0,"$20,556","$22,634","$41,847","$4,809","$2,725","$2,085","$1,221",$770,$372,"$1,620",$465,$32.31,$496,$99.07,$397,$0,$398,$-551.37,$-157.23,$752,$465,$-0.03,$-0.03,1,0.18
30-09-2024,"$10,112","$4,425","$2,784",$0,"$1,116","$18,437","$1,395",$581,"$6,922","$1,178","$23,221","$41,658","$10,696","$3,062","$1,614","$8,472","$19,168",$271,"$1,439",$0,"$20,547","$22,491","$41,658","$4,757","$2,605","$2,152","$1,227",$761,$108,"$1,880",$272,$-29.69,$241,$81.37,$159,$0,$159,$34.09,$186,$548,$272,$0.03,$0.03,0.89,0.18
31-12-2024,"$9,645","$6,509","$2,341",$0,$970,"$19,464","$1,474","$1,908","$7,075",$0,"$22,899","$42,363","$12,329","$3,158",$845,"$7,583","$19,913",$266,"$2,117",$0,"$19,642","$22,450","$42,363","$6,165","$3,236","$2,928","$1,202",$828,$94.20,"$1,935",$993,$40.48,"$1,036",$218,$818,$0,$817,$55.23,$882,"$1,245",$993,$0.16,$0.16,0.74,0.18
